"","What grade are you in?","What is/are your favourite subjects?","What is your ethnic background?","What is your academic stream?","What departments do you work in at Mackenzie?","Ham between two slices of bread","Bacon, lettuce, and tomato between two slices of bread","Grilled cheese","Panini","Sub","Hamburger","Hotdog","Ice cream between two cookies","Buritto","Taco","Calzone","Quesadilla","Open-faced sandwich","Pizza","Two slices of pizza, face down, on top of each other","Slice of bread between two more slices of bread","Oreo cookie","Ritz cracker","Sushi burrito","Nigiri sushi","Slice of cheese","Salad with croutons","Brick between two slices of bread","Cold cuts","Tomato","Cheese","Lettuce","Mayonnaise","Mustard","Ketchup","Carrot","Peanut butter","Jelly","Olives","Fish","Egg","Fruit","Chicken foot","Rice","Potato","Soup","Pasta","Grass"
"1","Grade 12","Computer Science and Technology;Science","Mixed","Gifted","",10,10,10,10,10,10,0,10,0,0,0,4,8,0,10,10,8,8,0,0,0,0,1,10,10,10,10,10,10,10,10,10,10,10,10,10,5,2,0,5,0,0,10
"2","Grade 12","Arts;English;Library;Social Sciences","Filipino","Academic","",10,10,10,10,8,7,5,8,3,2,4,3,2,0,1,3,1,2,1,0,0,0,3,7,10,10,10,7,6,6,4,10,10,9,8,10,6,0,0,0,0,0,0
"3","Grade 11","English;Science","Chinese","MaCS","",10,10,10,10,9,8,7,10,8,6,7,5,6,3,8,10,9,10,7,2,0,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"4","Grade 11","Math","Caucasian","MaCS","",10,10,10,10,10,10,10,10,8,10,8,10,0,0,2,10,10,10,8,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,10,10
"5","Grade 12","Business","Chinese","MaCS","",6,9,7,9,9,5,4,6,4,3,6,6,3,1,2,4,1,1,4,1,0,0,2,9,9,9,9,9,7,7,6,6,6,7,6,9,6,3,2,2,0,0,0
"6","Grade 12","Arts;English;Math","East Asian","MaCS","",10,10,8,8,10,5,10,0,5,1,5,6,0,0,2,4,0,0,5,0,0,0,0,10,10,10,10,8,8,5,5,8,10,5,8,1,1,0,0,0,0,0,0
"8","Grade 12","Languages;Math;Social Sciences","Jewish","MaCS","",9,10,10,10,10,7,6,6,5,2,8,4,0,0,5,6,2,4,2,0,0,0,9,10,10,10,10,10,10,6,7,10,10,10,10,10,4,2,0,3,0,1,2
"9","Grade 12","Science","Middle Eastern","Academic","",7,10,7,10,10,10,10,0,10,10,10,10,7,0,0,0,0,0,7,0,0,0,0,10,10,10,10,10,10,10,5,10,10,10,5,10,0,0,0,5,10,0,0
"10","Grade 12","Computer Science and Technology;Math;Physical Education;Science","Filipino","MaCS","",10,10,10,10,10,10,5,10,4,3,10,3,10,0,10,10,10,10,3,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,7,4,9,0,10,0
"11","Grade 12","English;Languages;Science","Mixed","MaCS","",10,10,9,10,10,7,6,9,3,3,6,6,7,0,3,2,6,1,2,0,0,0,3,10,10,10,10,10,10,7,8,10,10,5,3,9,0,2,0,0,0,0,0
"12","Teacher","Arts;English","Jewish","Teacher","English",10,10,10,8,10,5,0,5,0,0,0,0,10,0,0,4,0,0,0,0,0,0,0,10,10,10,10,10,10,4,0,10,10,4,10,5,0,0,0,0,0,0,0
